coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sat May 07 05:01:28 +0000 2016,,https://twitter.com/Canoe/status/728811967578710016/photo/1,http://cnews.canoe.com/CNEWS/Good_News/2016/05/06/22630737.html,1,728811967578710016,,,,en,,false,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Boys reunite with parents after being separated during wildfire evacuation https://t.co/mZKMiEGABX https://t.co/zNXHCtPpRn,https://twitter.com/Canoe/status/728811967578710016,Mon May 14 17:26:35 +0000 2007,6038642,false,"News, sports, entertainment, lifestyle, travel and tech, from one of Canada's largest general interest websites.",1669,8471,2008,487,Canada,Canoe,Canoe,237874,,http://www.canoe.com,true
,Mon May 09 22:38:59 +0000 2016,ymmfire FortMacFire,,,0,729802875111505921,,,,en,,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Joined by @bhensonweather of @wunderground to discuss weather conditions surrounding the Fort McMurray wildfire #ymmfire #FortMacFire,https://twitter.com/ArleneBynonShow/status/729802875111505921,Thu Oct 28 17:14:41 +0000 2010,209172858,false,Host of The Arlene Bynon Show heard LIVE weekdays from 8am-10am ET on #SiriusXM's @SXMCanadaTalks 167,3149,2419,1638,40,"Toronto, Canada",Arlene Bynon Show,ArleneBynonShow,15029,,http://www.siriusxm.ca,false
,Fri May 06 13:12:57 +0000 2016,helpyourneighbours,,https://twitter.com/cbcnewsbc/status/728510395405701120,0,728573266537779200,,,,en,,false,728510395405701120,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",This is a sad year for wildfire &amp; we hope everyone affected stays safe #helpyourneighbours https://t.co/HyFvhr8uP4,https://twitter.com/3dlinelocating/status/728573266537779200,Wed May 13 18:20:17 +0000 2015,3194610254,false,Premier Line Locating & Ground Disturbance Management company in Western Canada.,516,181,241,9,"5016 - 52st Warburg, AB T0C 2T",3-D Line Locating,3dlinelocating,1415,,http://www.3-dlinelocating.com,false
,Sun May 08 15:53:49 +0000 2016,,,http://www.theglobeandmail.com/news/alberta/wildfire-challenges-explained-by-someone-who-spent-33-years-fighting-them/article29932817/,1,729338525598945280,,,,en,,false,,5,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",IAFF's Rick Swan gives the lowdown on the challenges of Wildland fires. The Globe and Mail https://t.co/qVwbJkzKCx,https://twitter.com/smarks_mods/status/729338525598945280,Tue Jun 01 11:42:50 +0000 2010,150621141,false,retired,180,1252,393,15,Ottawa,Scott Marks,smarks_mods,629,,http://www.iaff.org,false
,Mon May 09 15:39:40 +0000 2016,,https://twitter.com/komonews/status/729683274830729218/photo/1,http://komonews.com/news/local/130-homes-at-risk-from-chelan-county-wildfire,0,729697352840142848,,,,en,,false,,3,729683274830729218,komonews,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",130 homes at risk from Chelan County wildfire - https://t.co/arcZgBx8qs https://t.co/hQdSPgUMfe,https://twitter.com/AustinHause/status/729697352840142848,Thu May 10 06:49:21 +0000 2012,576008668,false,,51673,209,999,12,Burien,Austin Hause,AustinHause,12862,,,false
,Sat May 07 14:38:17 +0000 2016,,,http://zpr.io/yMiH,0,728957128115933184,,,,en,,false,,0,,,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",Provincial Bulletin Expands Highlights Wildfire Conditions https://t.co/yVAS7nTxww,https://twitter.com/SteinbachOnline/status/728957128115933184,Wed May 26 22:33:53 +0000 2010,148517104,false,"Local news, weather, business listings and classifieds for Steinbach, MB.",69,2194,147,14,"Steinbach, MB, CA, R5G 2J7",SteinbachOnline,SteinbachOnline,24451,,http://steinbachonline.com,false
,Tue May 17 00:24:37 +0000 2016,FortMcMurray wildfire,,http://www.cbc.ca/news/canada/edmonton/growing-wildfire-forces-evacuation-of-fort-mcmurray-oilsands-camps-1.3585037,0,732366176907464704,,,,en,,false,,1,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","4,000 oilsands workers from 11 camps north of #FortMcMurray have been forced to evacuate due to new #wildfire https://t.co/PSmtlsbSzO",https://twitter.com/midislandnews/status/732366176907464704,Sat Oct 17 22:40:35 +0000 2009,83237913,false,"That's all folks! The end. RIP.
#Nanaimo #Parksville #QualicumBeach #LadysmithBC #Lantzville #PortAlberni",1086,6228,5207,265,"Nanaimo, BC",Mid Island News,midislandnews,36515,,,false
,Fri May 13 18:58:02 +0000 2016,FortMacFire loveit AlbertaStrong proud,,https://twitter.com/globalcalgary/status/731195972970143745,0,731196823256195072,,,,en,,false,731195972970143745,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FortMacFire evacuees are getting help they need #loveit #AlbertaStrong #proud https://t.co/kmUkosWVqa,https://twitter.com/GrahamsHome/status/731196823256195072,Fri Oct 02 20:11:49 +0000 2015,3762373638,false,create.decorate.organize...and fall in love with your home and life,73,51,128,13,"Chestermere, Alberta",Graham's Home Decor,GrahamsHome,395,,http://www.grahamshomedecor.com,false
,Sun May 08 01:50:27 +0000 2016,wildfire FortMcMurray,https://twitter.com/mandiller/status/729126285264347136/photo/1,http://www.google.org/crisismap/2016-fort-mcmurray-fire?hl=en&llbox=56.7509%2C56.6212%2C-111.1202%2C-111.5459&t=ROADMAP&layers=5%2C14%2C44%2C41%2C35%2C34%2C11%2C24%2C3%2C7%2C2%2C1%3A100,3,729126285264347136,,,,en,,false,,3,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The #wildfire damage you can see in #FortMcMurray, Canada, is unreal. Check out sat images https://t.co/1lWOGevEml https://t.co/tHZ5fPth9I",https://twitter.com/mandiller/status/729126285264347136,Thu Jun 18 02:53:06 +0000 2009,48219784,false,"Digital Editor for ABC Hobart. Dad/husband/tea drinker. I love the latest technology, games and fantasy books.",443,1021,227,56,"Hobart, Tasmania",Daniel Miller,mandiller,3901,,http://www.abc.net.au/news,true
,Fri May 06 22:05:20 +0000 2016,FortMcMurray ymmfire,,http://ow.ly/4ntxpP,1,728707244779540480,,,,en,,false,,1,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",.@redcrosscanada is collecting donations to help those affected by wildfire in #FortMcMurray - Donate here: https://t.co/sCOEAFbw6T #ymmfire,https://twitter.com/TransMtn/status/728707244779540480,Wed May 23 02:50:33 +0000 2012,587950211,false,Your source for information/news about operations of the #TransMountain pipeline system and the Trans Mountain Expansion Project (#TMX). En français @TransMtnFR,746,11517,997,108,,Trans Mountain,TransMtn,7887,,http://www.transmountain.com,false
,Sun May 08 18:42:19 +0000 2016,,,http://glbn.ca/BdIOKC,0,729380927923732482,,,,en,,false,,0,,,"<a href=""https://www.spredfast.com/"" rel=""nofollow"">Khoros Publishing</a>",WATCH LIVE: Chad Morrison of Alberta wildfire says able to hold the line thanks to help from weather https://t.co/m1DORE47kE,https://twitter.com/GlobalLeth/status/729380927923732482,Thu May 05 22:55:48 +0000 2011,293762731,false,"The most-watched newscast in Lethbridge from the source Southern Albertans have trusted for over 50 years. Join us at 5pm, 6pm & 11pm, Monday through Friday.",668,18559,287,224,"Lethbridge, AB",Global Lethbridge,GlobalLeth,91771,,http://globalnews.ca/lethbridge,true
,Fri May 06 17:41:37 +0000 2016,FortMcMurray,,https://twitter.com/TorontoStar/status/728633060682563584,1,728640877963423744,,,,en,,false,728633060682563584,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Amazing number...the Red Cross has raised $30 million for #FortMcMurray  https://t.co/dNBRHP3Oba,https://twitter.com/manjaselva/status/728640877963423744,Sat Mar 31 12:26:59 +0000 2007,3058131,false,journalist 📻 national columnist and guest host @cbcradio 🎙️host podcast @MaRSDD @invest_ottawa 🎤 speaker requests to DM,15536,4755,3155,85,"Toronto, Canada",Manjula Selvarajah,manjaselva,13231,,https://www.manjulaselvarajah.com/,false
,Thu May 12 16:00:04 +0000 2016,,,,0,730789648142716930,,,,en,,,,1,730789560410505216,meluvtweet,"<a href=""http://onfoot.ca"" rel=""nofollow"">Totally Pointless Experiment</a>","Canadian oil workers prepare for air commutes after wildfire: EDMONTON, Alberta/NEW YORK, May 12 (Reuters) - ... https://t.co/ONOF8GP3om",https://twitter.com/piberryberet/status/730789648142716930,Tue Oct 06 15:17:25 +0000 2009,80325892,false,On a quest to discover the world! Inspirational & interesting tweets posted for your enjoyment!,16,176,0,94,Toronto,Kim PiBerry Beret,piberryberet,7790,,,false
,Thu May 12 18:16:36 +0000 2016,mbfire,,,0,730824010506768385,MBGovParks,730823064309530624,2913042596,en,,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Beresford Lake Campground in Nopiming will remain closed due to the active wildfire #mbfire,https://twitter.com/MBGovParks/status/730824010506768385,Fri Nov 28 19:40:56 +0000 2014,2913042596,false,Follow us for updates from Manitoba Provincial Parks.  Use #ManitobaParks to share your adventures with us! Moderation Policy: https://t.co/iR6GesjQyJ,1425,7057,124,37,"Manitoba, Canada",Manitoba Parks,MBGovParks,4140,,http://www.manitobaparks.com,true
,Wed May 11 16:16:21 +0000 2016,,,,0,730431359378853890,,,,en,,,,3,730429894757388288,Andrew_GlobalSJ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",22 DNR firefighters fly out to Alberta at 4 from Moncton to assist in wildfire fighting efforts @Global_NB https://t.co/1jnC4to6P2,https://twitter.com/cgoomansingh/status/730431359378853890,Tue Sep 09 21:24:44 +0000 2008,16211562,false,Europe Bureau Chief for @Globalnews @GlobalNational Award-winning Journalist & Former Canadian News Anchor. (she/her) Email: crystal.goomansingh@globalnews.ca,7260,6902,4907,150,"London, England",Crystal Goomansingh,cgoomansingh,15207,,,true
,Fri May 06 19:56:34 +0000 2016,,,http://www.cbc.ca/1.3567828,0,728674838034944001,,,,en,,false,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ottawa to match Red Cross donations for Fort McMurray wildfire, Trudeau says https://t.co/enyTpKt0P3",https://twitter.com/torresimagery/status/728674838034944001,Wed Apr 11 13:56:57 +0000 2012,551013493,false,"Artist, Designer, Photographer and Serious Believer of Social Fairness ...",8323,1853,2739,253,Canada,P. M. Torres 🍁,torresimagery,38647,,http://comingsoon.com,false
,Tue May 10 19:20:53 +0000 2016,,,http://www.oralhealthgroup.com/dentistry/henry-schein-disaster-relief-hotline-open-support-customers-affected-wildfire-alberta-canada-1003921091/,1,730115410851463172,,,,en,,false,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Henry Schein Disaster Relief Hotline Open to Support Customers Alberta - Oral Health Group https://t.co/gBkzFUwmjK via @Oralhealthgroup,https://twitter.com/OralHealthGroup/status/730115410851463172,Mon Jul 13 14:34:24 +0000 2015,3374050907,false,Delivering the latest in dentistry,1358,2381,397,37,"Toronto, Ontario",Oral Health Group,OralHealthGroup,9362,,http://www.oralhealthgroup.com,false
,Tue May 10 01:03:18 +0000 2016,,,https://twitter.com/ruthzowdu/status/729830927291981826,0,729839195921993730,,,,en,,false,729830927291981826,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I wonder if @normmacdonald would care to donate to Norm MacDonald? https://t.co/RPnxZL2QiE,https://twitter.com/BlueRaveFinn/status/729839195921993730,Sat Jul 09 04:47:25 +0000 2011,332063391,false,"Wondering what I'm going to do when I grow up. Pipio ergo sum.
Blueravefinn@mastodon.social",12157,1771,2279,188,"Ontario, Canada",Lisa,BlueRaveFinn,457827,,,false
,Sat May 07 13:10:54 +0000 2016,ymmfire,,,0,728935137342164992,,,,en,,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The @redcrosscanada says people have donated $30M for Fort McMurray wildfire relief  #ymmfire,https://twitter.com/IsabelleRaghem/status/728935137342164992,Thu Sep 08 01:06:45 +0000 2011,369832510,false,Former reporter & host with @cbcnewsbc @cbcvancouver. And @CityNewsVAN @CHEK_News @CHCHNews before that. Still taller on tv. Francophone.,11701,3686,1812,76,"Vancouver, British Columbia",Isabelle Raghem,IsabelleRaghem,9058,,http://www.cbc.ca/bc,true
,Fri May 06 15:19:01 +0000 2016,,,http://bit.ly/23uXRu7,0,728604991397584896,,,,en,,false,,0,,,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",Catastrophic Canadian Wildfire Is a Sign of Destruction to Come: Less snow and warmer spring mean more acres ... https://t.co/jfjuGCoAfb,https://twitter.com/NJGiants201/status/728604991397584896,Sun Apr 01 19:37:44 +0000 2012,542798353,false,"Designing, maintaining and repairing electronic systems in home and business environments.",75,563,47,0,New Jersey,Enrique Romero,NJGiants201,3006,,http://LincolnTech.edu,false
,Mon May 16 01:53:17 +0000 2016,BCWildfire,https://twitter.com/AM610_Newsroom/status/732026102655246336/photo/1,http://www.ylcountry.com/2016/05/15/state-of-local-emergency-declared-in-bc-peace-due-to-wildfire/,1,732026102655246336,,,,en,,false,,1,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",State of Local Emergency Declared in the BC Peace... @fortstjohn #BCWildfire https://t.co/FgYl9QZjcY https://t.co/6FkDDoO04E,https://twitter.com/Trending55_News/status/732026102655246336,Mon Apr 04 23:21:02 +0000 2011,277224704,false,Trending 55 Newsroom. Serving the Peace Region for over 55 years. Have a news tip? Contact us at 780-624-1088,157,1420,422,23,"Peace River, Alberta",Trending 55 Newsroom,Trending55_News,12253,,http://www.rivercountry.fm/local-news/,false
,Thu May 12 20:20:35 +0000 2016,Canada wildfire fortmacfire,,http://www.reuters.com/regional/article/idCAKCN0Y32PC,1,730855209753153536,,,,en,,false,,1,,,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","From 'man camps' to pizza: after #Canada #wildfire, a silver lining for businesses https://t.co/L4HZhKZntF @reutersnicolem #fortmacfire",https://twitter.com/reuters_staylor/status/730855209753153536,Thu Jan 13 15:30:20 +0000 2011,237760228,false,"Formerly Reuters. Volunteer, food geek and outdoors enthusiast.",7157,1207,403,104,Toronto,Susan Taylor,reuters_staylor,4630,,,false
,Mon May 16 23:31:09 +0000 2016,ymmfire ymm,,http://glbn.ca/OFu2As,0,732352717813731328,,,,en,,false,,5,732343962841812992,GlobalCalgary,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Fort McMurray wildfire: Mandatory evacuation issued for camps north of city #ymmfire #ymm https://t.co/9c6i4IoRZX,https://twitter.com/natashaslack1/status/732352717813731328,Sun Aug 08 20:55:29 +0000 2010,176189111,false,🇨🇦🇬🇧,9597,85,130,3,Calgary,Natasha Slack,natashaslack1,2670,,,false
,Fri May 06 17:10:33 +0000 2016,,,http://fb.me/84O8buZqv,0,728633060145692673,,,,en,,false,,0,,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","A reminder, Friends. We are accepting donations in support of the Fort McMurray wildfire crisis through St.... https://t.co/ZG1hlGBH70",https://twitter.com/kellyspub104/status/728633060145692673,Wed Sep 12 05:32:32 +0000 2012,818900862,false,"Whether you want to enjoy a great pint, cocktail, glass of wine or special coffee or tempt your tastebuds with a delicious meal, Kelly's Pub is the place to be!",4518,1248,1039,50,"Edmonton, Alberta",Kelly's Pub 🍻,kellyspub104,4834,,http://kellyspubedmonton.com/,false
,Tue May 17 21:28:57 +0000 2016,,,,0,732684355349434368,,,,en,,,,2,732674845016793088,amasonic,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Anger is a spark. A spark is most times a good thing.
Rage is a wildfire. It needs to be controlled lest it causes damage.",https://twitter.com/Mr_Thelonious/status/732684355349434368,Fri Jun 26 13:46:05 +0000 2009,51062982,false,Onyanta’s Son is Onyanta’s Father.,720,742,324,5,Ontario ,Ad’Ofu,Mr_Thelonious,26723,,,false
,Fri May 13 18:18:09 +0000 2016,,,,0,731186787012349953,,,,en,,,731138261179998209,6,731148281552633858,thischanges,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","""Hundreds of temporary foreign workers who have fled Fort McMurray face an uncertainty that other evacuees don’t.""  https://t.co/8qY7wv0Nnk",https://twitter.com/deBeauxOs1/status/731186787012349953,Sun Dec 05 01:52:12 +0000 2010,222987791,false,"«There are two kinds of humor. One makes us chuckle about our foibles and shared humanity. The other holds people up to public ridicule.» 
Molly Ivins",70158,4895,1209,388,Canada,deBeauxOs,deBeauxOs1,651212,,http://scathinglywrongrightwingnutz.blogspot.com/,false
,Fri May 20 14:27:06 +0000 2016,wildfire smem cdnpoli,,http://calgaryherald.com/news/local-news/communications-in-a-crisis/,2,733665357236342784,,,,en,,false,,1,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Interesting insights on the shifting communications landscape from 2013 floods to today's #wildfire https://t.co/4mXkkbtIFw #smem #cdnpoli,https://twitter.com/The_Fuzz74/status/733665357236342784,Wed May 04 11:07:37 +0000 2011,292865810,false,"Policy, Innovation, Foresight, Cyber Security & Resilience guru. Liverpool FC, comic book and science fiction fan. 🇲🇾 🇬🇧 🇨🇦",20182,931,585,420,"Ottawa, Canada",Kabi,The_Fuzz74,23982,,,false
,Thu May 19 05:23:02 +0000 2016,,,https://www.linkedin.com/pulse/osp-canada-prayer-victims-fort-mcmurray-alberta-hon-h-e-sir-dr-,0,733166048711598082,,,,en,,false,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""OSP Canada Prayer for the victims of Fort McMurray – Alberta (Canada) wildfire"" by @PMCandidate on @LinkedIn https://t.co/j6CtYFXI3b",https://twitter.com/pac_leader/status/733166048711598082,Mon Sep 22 19:55:25 +0000 2008,16408798,false,"Participation, Rule of Law, Transparency, Responsiveness, Consensus Oriented, Equity and Inclusiveness, Effectiveness and Efficiency, and Accountability.",111,590,41,17,"Ottawa - Ontario, Canada",Raphael Louis,pac_leader,4144,,http://www.pcnc-ncpc.ca,false
,Sat May 14 21:21:32 +0000 2016,,,http://www.cbc.ca/news/canada/calgary/ron-joyce-tim-hortons-cofounder-red-cross-wildfire-donation-1.3581501,0,731595326520492032,,,,en,,false,,0,,,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>",Red Cross gets $2M donation fro… https://t.co/OjhF78Q847,https://twitter.com/EAMcDonaldOtt/status/731595326520492032,Wed Mar 20 19:49:29 +0000 2013,1284112902,false,Government & industry relations adviser to @CUFCA1 ; Former CEO- Canadian Energy Efficiency Alliance August 2012 to October 2017; CEO CanSIA (2007-2011).,3465,857,462,75,Ottawa Ontario Canada,Elizabeth McDonald,EAMcDonaldOtt,9792,,,false
,Thu May 12 04:10:08 +0000 2016,yyc,https://twitter.com/CTVLethbridge/status/730610988005756928/photo/1,http://bit.ly/1UUgEyL,0,730610988005756928,,,,en,,false,,3,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Outpouring of support for wildfire victims has other charities struggling https://t.co/GcEFDCGe9i @RLadhaniCTV #yyc https://t.co/zkc5hUqwWf,https://twitter.com/CTVLethbridge/status/730610988005756928,Fri Jun 04 20:39:16 +0000 2010,152004319,false,"CTV Lethbridge News. 
Week nights at 5pm. 
A Division of Bell Media.",189,17931,261,174,Lethbridge,CTV Lethbridge,CTVLethbridge,71550,,http://facebook.com/ctvlethbridge,true
